financials.arpu_max,financials.arpu_min,financials.arr_max,financials.arr_min,financials.cac_max,financials.cac_min,financials.created_at,financials.gross_churn_max,financials.gross_churn_min,financials.id,financials.ltv_cac,financials.ltv_dollars,financials.ltv_months,financials.mrr_max,financials.mrr_min,financials.num_customers_max,financials.num_customers_min,financials.raised,financials.revenue_2016,financials.revenue_2017,financials.updated_at,id,industry,location,logo_url,name,num_employees,podcast.guest.advice,podcast.guest.age,podcast.guest.favorite_book_name,podcast.guest.favorite_book_url,podcast.guest.favorite_ceo_name,podcast.guest.favorite_ceo_url,podcast.guest.favorite_tool_name,podcast.guest.favorite_tool_url,podcast.guest.hours_sleep,podcast.guest.id,podcast.guest.kids,podcast.guest.married,podcast.guest.name,podcast.guest.url,podcast.id,podcast.url,private,sub_category,url,year_founded
1899.0,1899.0,15951600.0,15951600.0,40.0,40.0,Wed Feb 21 2018 11:57:07 GMT+0000 (UTC),6.0,6.0,RmluYW5jaWFsczo1ODc=,791.4,31656.0,16.0,1329300.0,1329300.0,700.0,700.0,0.0,15951600,,Mon May 30 2016 00:00:00 GMT+0000 (UTC),Q29tcGFueToxMjc=,Sales Automation,San Francisco,https://logo.clearbit.com/inspirebeats.com,InspireBeats,21.0,,24.0,10X Rule,https://www.amazon.com/gp/product/0470627603/ref=as_li_tl$114ie=UTF8&camp=1789&creative=9325&creativeASIN=0470627603&linkCode=as2&tag=nathanlatkaco-20&linkId=52a1e0fd389e66d6aa7918b40146766b,Chris Hardwick,http://nerdist.com/chris-hardwick/,Streak,https://www.streak.com/,yes,Rm91bmRlcjoxMjc=,,,Alex Berman,http://inspirebeats.com/,UG9kY2FzdDoxMjc=,https://soundcloud.com/nathan-latka/ep-354-1-3m-in-monthly-revenue,False,Contact Data,inspirebeats.com,2014.0
5000.0,5000.0,4800000.0,4200000.0,9000.0,9000.0,Fri Feb 23 2018 17:15:59 GMT+0000 (UTC),1.0,1.0,RmluYW5jaWFsczo2MzY=,55.56,500000.0,100.0,400000.0,350000.0,,100.0,4000000.0,420000,4200000.0,Tue Jan 16 2018 00:00:00 GMT+0000 (UTC),Q29tcGFueToyODA=,Marketing Automation,"Boston, MA",https://upload.wikimedia.org/wikipedia/commons/9/9a/MarketMuse_Logo.png,MarketMuse,22.0,Take more risks.,32.0,What i wish i knew when i was 20,,,,Zoom,https://zoom.us/,6,Rm91bmRlcjoyNzQ=,0.0,No,Aki Balogh,https://www.linkedin.com/in/akibalogh/,UG9kY2FzdDoyNzQ=,,False,Content Marketing,https://www.marketmuse.com/,2013.0
19.0,19.0,14400000.0,14400000.0,600.0,60.0,Tue Oct 24 2017 22:58:12 GMT+0000 (UTC),6.0,6.0,RmluYW5jaWFsczoyNTE=,10.83,650.0,17.0,1200000.0,1200000.0,,30000.0,0.0,8000000,14400000.0,Tue Oct 24 2017 22:58:12 GMT+0000 (UTC),Q29tcGFueToyMTM=,Sales Automation,Annapolis,https://logo.clearbit.com/calltrackingmetrics.com,Call Tracking Metrics,23.0,Get your shit together,36.0,None,,Elon Musk,,Hurli.it,,6,Rm91bmRlcjoyMTM=,3.0,Yes,Todd Fisher,https://www.linkedin.com/in/toddafisher/,UG9kY2FzdDoyMTM=,https://soundcloud.com/nathan-latka/805-saas-30-000-customers-make,False,Calls,calltrackingmetrics.com,2012.0
2000.0,2000.0,1000000.0,624000.0,,,Tue Feb 27 2018 15:44:13 GMT+0000 (UTC),1.0,,RmluYW5jaWFsczo3MjY=,,96000.0,48.0,88000.0,52000.0,26.0,26.0,800000.0,624000,,Tue Mar 15 2016 00:00:00 GMT+0000 (UTC),Q29tcGFueTo1NQ==,Human Resources,,https://logo.clearbit.com/cooleaf.com,Cooleaf,11.0,Do it sooner. You’ll learn on the job.,,The Alliance,,Dharmesh Shah,,LinkedIn,,,Rm91bmRlcjo1NQ==,,,Prem Bhatia,https://twitter.com/PremCBhatia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,UG9kY2FzdDo1NQ==,https://soundcloud.com/nathan-latka/ep-267-quit-6-figure-corporate,False,Training,cooleaf.com,2012.0
150.0,100.0,100000000.0,,900.0,750.0,Fri Feb 23 2018 17:24:28 GMT+0000 (UTC),2.0,1.0,RmluYW5jaWFsczo2Mzc=,14.64,10980.0,73.2,8333333.0,,,85000.0,,65000000,99999996.0,Tue Jan 16 2018 00:00:00 GMT+0000 (UTC),Q29tcGFueTozMTQ=,Sales Automation,"Scottsdale, Arizona",https://logo.clearbit.com/www.swiftpage.com,Swiftpage,170.0,Raise some capital and start a company early on.,55.0,Blink: The Power of Thinking Without Thinking,,Jerre Stead,,Twitter,,6.5,Rm91bmRlcjozMDg=,4.0,Yes,John Oechsle,https://www.linkedin.com/in/hjohnoechsle/,UG9kY2FzdDozMDg=,,False,CRM,www.swiftpage.com,2001.0
1800.0,1800.0,1080000.0,1080000.0,2000.0,2000.0,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),8.0,8.0,RmluYW5jaWFsczoxMjE=,11.25,22500.0,12.5,90000.0,90000.0,50.0,50.0,1100000.0,1080000,,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),Q29tcGFueToxMjE=,Sales Automation,"Durham, Remote",https://www.revboss.com/ui/img/logos/revboss-white.svg,RevBoss,12.0,“To not worry so much about the long term—that things just have a way of working themselves out”,36.0,The Hard Things About Hard Things,http://amzn.to/2j6LjNk,Matt Williamson,https://www.linkedin.com/in/mattwilliamson,Stripe,https://stripe.com/,No,Rm91bmRlcjoxMjE=,3.0,,Eric Boggs,https://www.linkedin.com/in/ericboggs,UG9kY2FzdDoxMjE=,https://soundcloud.com/nathan-latka/ep-544-revboss-700k-2015,False,Contact Data,http://www.revboss.com/,2016.0
41.0,41.0,300000.0,300000.0,50.0,50.0,Sun Jun 05 2016 00:00:00 GMT+0000 (UTC),,,RmluYW5jaWFsczoxMTM=,,,,25000.0,25000.0,600.0,600.0,4500000.0,300000,,Sun Jun 05 2016 00:00:00 GMT+0000 (UTC),Q29tcGFueToxMTM=,Real Estate,San Francisco,https://logo.clearbit.com/spacer.com,Spacer,17.0,,26.0,Hard thing about hard things,,,,,,Yes,Rm91bmRlcjoxMTM=,,,Jonathan Gillons,,UG9kY2FzdDoxMTM=,https://soundcloud.com/nathan-latka/ep-364-300-000-per-year-worth,False,Real Estate,spacer.com,2013.0
49.0,8.0,1800000.0,1200000.0,,,Sat Oct 27 2018 13:57:59 GMT+0000 (UTC),,,RmluYW5jaWFsczoxMjE1,,1000.0,18.0,150000.0,100000.0,10000.0,10000.0,850000.0,750000,1200000.0,Thu Sep 27 2018 00:00:00 GMT+0000 (UTC),Q29tcGFueTozMjQ=,Misc,"New York, NY - Costa Rica",https://logo.clearbit.com/https://slidebean.com/,SlideBean,20.0,Start a business faster.,29.0,Traction,,Josh Baremetrics,,Intercom,,5,Rm91bmRlcjozMTg=,1.0,Yes,Jose Cayasso,https://www.linkedin.com/in/cayajose/en/,UG9kY2FzdDozMTg=,,False,Presentations,https://slidebean.com/,2014.0
4200.0,4200.0,30000000.0,10000000.0,25000.0,25000.0,Fri Jul 27 2018 09:38:58 GMT+0000 (UTC),1.0,,RmluYW5jaWFsczo4NzA=,12.0,300000.0,72.0,2500000.0,833000.0,,200.0,29000000.0,5000000,9996000.0,Tue May 01 2018 00:00:00 GMT+0000 (UTC),Q29tcGFueTo0NTU=,Marketing Automation,"New York, New York",https://logo.clearbit.com/https://www.wochit.com/,Wochit,60.0,Be less arrogant and listen more.,46.0,Crossing The Chasm,,Jack walls,,Canva,,6,Rm91bmRlcjo0NDU=,4.0,Yes,Dror Ginzberg,https://www.linkedin.com/in/drorginzberg/,UG9kY2FzdDo0NDU=,,False,Video Marketing,https://www.wochit.com/,2012.0
2500.0,2500.0,600000.0,600000.0,,,Wed Feb 21 2018 15:51:57 GMT+0000 (UTC),,,RmluYW5jaWFsczo1OTQ=,,,,50000.0,50000.0,20.0,20.0,0.0,600000,,Thu Nov 10 2016 00:00:00 GMT+0000 (UTC),Q29tcGFueToxMzc=,Sales Automation,"UK, Ireland, New Zealand",https://logo.clearbit.com/leadiro.com,Leadiro,6.0,“Work hard because nothing happens overnight and if you really focus and you can achieve anything”,40.0,The Magic of Thinking Big,https://www.amazon.com/Magic-Thinking-Big-David-Schwartz/dp/0671646788,,,SimilarWeb,https://www.similarweb.com/,Yes,Rm91bmRlcjoxMzc=,2.0,,Ian Cullen,https://uk.linkedin.com/in/iancullen,UG9kY2FzdDoxMzc=,,False,Contact Data,leadiro.com,2016.0
